Provider,PotentialFraud,InscClaimAmtReimbursed,DeductibleAmtPaid,AdmitForDays,NoOfMonths_PartACov,NoOfMonths_PartBCov,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,Age,WhetherDead,Gender_2,Race_2,Race_3,Race_5
PRV51475,0,73130,11788.0,54.0,516,516,18,25,17,9,15,20,32,32,9,19,5,239880,29904,93350,30890,3157.0,1.0,23.0,5.0,1.0,3.0
PRV51476,0,20180,3274.0,20.0,216,216,6,9,10,3,7,6,13,12,7,5,0,38210,11340,53760,18050,1336.0,1.0,8.0,0.0,2.0,2.0
PRV51477,0,9940,0.0,0.0,243,252,6,13,6,4,3,8,14,10,12,5,2,80290,6408,40810,8470,1616.0,1.0,12.0,3.0,0.0,0.0
PRV51478,0,3930,20.0,0.0,192,196,8,10,8,2,1,8,13,14,7,6,1,152280,11748,22090,8720,1226.0,0.0,7.0,3.0,3.0,1.0
PRV51479,0,134630,14524.0,63.0,2724,2724,87,143,92,35,65,96,155,180,70,78,19,1042980,124646,527040,170720,16767.0,2.0,127.0,12.0,20.0,6.0
PRV51480,1,557880,5480.0,0.0,23028,23045,764,1121,815,299,548,871,1367,1481,613,598,182,9232200,1265172,4302500,1239170,142299.0,20.0,1146.0,139.0,232.0,130.0
PRV51482,1,218470,11848.0,80.0,1080,1092,31,51,41,15,29,38,72,71,34,25,9,606750,53400,168690,47510,6937.0,2.0,55.0,8.0,9.0,7.0
PRV51483,0,60400,5430.0,24.0,912,924,38,48,40,6,31,35,59,60,29,26,6,352330,45176,199730,65530,5796.0,1.0,50.0,3.0,10.0,5.0
PRV51484,0,23570,2236.0,9.0,1032,1032,37,45,43,8,34,33,74,74,39,29,13,616920,63468,338550,76996,6248.0,0.0,45.0,7.0,6.0,12.0
PRV51486,0,53660,450.0,0.0,2568,2556,73,110,73,21,60,82,142,149,79,58,10,599660,60108,426210,127890,16406.0,1.0,126.0,10.0,20.0,9.0
PRV51487,0,9240,60.0,0.0,156,156,8,8,7,2,4,4,12,10,5,4,1,45400,4272,33710,6990,950.0,0.0,12.0,2.0,4.0,0.0
PRV51488,0,108930,3764.0,14.0,3252,3264,118,172,117,49,82,109,194,212,86,76,31,1427470,136100,600460,179320,20322.0,3.0,158.0,22.0,31.0,18.0
PRV51490,1,442070,51264.0,283.0,768,768,36,42,30,9,30,39,52,53,21,25,11,807410,147420,171000,43750,4667.0,0.0,34.0,4.0,9.0,5.0
PRV51491,0,67480,7736.0,31.0,840,840,22,44,31,9,23,37,52,51,25,25,8,390680,37880,242850,67030,5221.0,0.0,42.0,2.0,3.0,4.0
PRV51492,0,150550,14024.0,81.0,960,972,40,46,34,11,22,41,60,63,31,29,7,434580,51764,187730,54510,6070.0,1.0,52.0,6.0,16.0,2.0
PRV51494,0,17450,80.0,0.0,456,456,12,19,14,8,5,14,26,26,13,14,5,55000,5340,110050,24440,2842.0,0.0,19.0,3.0,4.0,3.0
PRV51495,1,845690,93984.0,649.0,1692,1692,64,83,58,26,60,63,100,115,51,45,27,1554220,164300,208390,56840,10552.0,2.0,74.0,9.0,6.0,10.0
PRV51496,0,29250,530.0,0.0,1476,1474,51,56,48,21,32,65,94,87,45,40,21,416520,52332,198710,66450,8886.0,1.0,62.0,4.0,8.0,11.0
PRV51497,0,104190,4272.0,29.0,180,180,6,10,7,1,7,9,10,10,5,6,3,207970,14952,20100,4380,1128.0,1.0,8.0,0.0,2.0,2.0
PRV51499,0,137840,3336.0,7.0,5664,5686,170,272,186,69,121,203,309,334,145,133,44,2268780,269268,944560,266870,35642.0,2.0,272.0,25.0,56.0,56.0
PRV51500,0,1100,10.0,0.0,96,96,5,5,3,2,4,7,4,7,1,5,3,16140,2136,20500,6450,627.0,0.0,8.0,0.0,1.0,1.0
PRV51501,1,2071310,231816.0,1489.0,2772,2772,111,154,125,46,98,116,195,197,79,89,37,3849370,448000,333140,105950,17661.0,1.0,143.0,15.0,32.0,14.0
PRV51502,0,8390,0.0,0.0,372,372,16,23,15,3,7,12,23,21,8,10,6,159950,17020,59910,16370,2346.0,0.0,14.0,3.0,7.0,1.0
PRV51503,0,24070,40.0,0.0,684,678,17,31,24,10,19,26,38,45,24,19,4,161140,26700,180310,39470,4307.0,0.0,34.0,4.0,10.0,2.0
PRV51504,0,35290,440.0,0.0,1536,1536,45,72,43,14,38,54,86,96,37,35,8,422380,47924,274530,79340,9555.0,1.0,82.0,10.0,13.0,10.0
PRV51505,0,2430,40.0,0.0,180,180,6,10,8,4,5,9,14,14,6,3,2,48120,6408,38850,11720,1114.0,0.0,9.0,0.0,3.0,0.0
PRV51507,1,337340,9188.0,55.0,12120,12129,404,604,395,156,326,449,694,761,312,329,115,5294270,582020,2402440,643530,74401.0,3.0,599.0,74.0,122.0,57.0
PRV51508,0,239050,12916.0,55.0,2412,2405,82,111,77,23,60,86,141,150,52,58,18,1089260,115436,405550,118360,14545.0,0.0,99.0,14.0,27.0,10.0
PRV51509,0,322130,2840.0,0.0,12288,12317,376,537,429,175,334,458,756,755,318,335,113,5188140,556228,2406110,662920,76011.0,7.0,521.0,74.0,101.0,63.0
PRV51510,0,20020,220.0,0.0,684,684,22,39,26,6,17,25,46,45,23,21,8,216590,25632,207690,58870,4067.0,1.0,31.0,6.0,2.0,6.0
PRV51511,0,8760,40.0,0.0,192,192,6,11,8,3,6,6,11,9,4,5,2,157000,8544,34520,8530,1195.0,1.0,12.0,0.0,3.0,1.0
PRV51514,0,239220,22458.0,159.0,1104,1116,32,64,39,12,28,33,65,75,28,26,7,629500,66380,234010,69990,7150.0,2.0,54.0,5.0,10.0,4.0
PRV51515,0,52800,4352.0,60.0,576,576,19,27,21,5,17,21,36,40,14,15,6,342690,37312,113430,32620,3489.0,0.0,24.0,5.0,3.0,5.0
PRV51516,0,33260,3224.0,12.0,480,473,11,20,15,6,13,17,22,33,13,7,3,130810,18156,75860,23150,2734.0,0.0,23.0,1.0,7.0,5.0
PRV51517,0,5990,150.0,0.0,132,132,6,8,3,0,4,4,5,9,2,3,1,36680,4272,19370,6580,834.0,0.0,8.0,1.0,0.0,0.0
PRV51518,0,43920,5860.0,31.0,624,636,20,33,26,8,11,24,42,46,18,19,9,416390,37380,109280,34880,4072.0,2.0,27.0,3.0,2.0,7.0
PRV51521,0,8070,100.0,0.0,552,552,20,29,20,5,12,20,30,36,19,11,3,230710,14952,75950,15660,3294.0,4.0,21.0,3.0,7.0,2.0
PRV51522,0,206780,13506.0,77.0,2256,2244,74,119,81,25,73,88,130,151,44,67,21,895450,104120,495430,149990,13922.0,4.0,109.0,8.0,31.0,22.0
PRV51523,0,733810,61944.0,394.0,780,780,30,41,38,11,30,34,49,51,24,22,5,1082750,99120,151380,43850,4866.0,0.0,31.0,4.0,10.0,6.0
PRV51525,0,75770,5470.0,47.0,732,732,19,31,20,7,16,26,39,40,22,17,6,475380,38948,162060,42220,4490.0,1.0,36.0,7.0,16.0,2.0
PRV51526,0,43150,7476.0,36.0,228,240,12,11,12,4,5,7,14,15,7,3,2,53080,13016,49690,16650,1492.0,0.0,11.0,2.0,5.0,1.0
PRV51527,0,12410,120.0,0.0,492,492,16,22,20,5,11,15,30,30,21,10,5,141630,17088,128160,46140,3009.0,0.0,24.0,5.0,7.0,2.0
PRV51528,0,6670,0.0,0.0,204,198,4,10,8,2,6,8,13,16,5,8,2,84040,7476,51950,10800,1281.0,0.0,8.0,1.0,1.0,1.0
PRV51529,0,5800,80.0,0.0,276,276,8,15,9,4,6,11,17,20,9,5,4,112300,16020,50120,16410,1778.0,0.0,16.0,1.0,2.0,3.0
PRV51531,0,9870,140.0,0.0,396,408,14,20,16,4,7,15,28,26,6,20,7,324000,13884,62580,24500,2471.0,0.0,19.0,1.0,6.0,1.0
PRV51532,0,70930,6608.0,61.0,384,384,15,21,17,1,12,13,27,29,11,10,2,262230,40768,101260,28260,2334.0,0.0,18.0,3.0,4.0,2.0
PRV51533,0,96350,13884.0,154.0,432,432,13,26,11,2,11,17,25,28,14,13,3,171560,28000,54230,11480,2711.0,0.0,23.0,0.0,4.0,3.0
PRV51534,0,50,0.0,0.0,12,12,0,1,0,0,1,1,1,1,1,1,0,0,0,2080,280,76.0,0.0,0.0,0.0,0.0,0.0
PRV51535,0,121350,3476.0,13.0,4644,4655,125,240,146,62,121,168,252,288,120,117,34,1640500,188936,827590,213850,28972.0,1.0,227.0,16.0,52.0,41.0
PRV51536,0,41550,4392.0,19.0,180,180,7,6,8,5,2,3,7,13,8,3,4,64330,7476,16180,3730,1192.0,0.0,7.0,0.0,3.0,0.0
PRV51539,1,854240,73844.0,472.0,6428,6425,207,322,212,88,150,227,384,408,171,157,53,2876560,309040,1033140,294290,40062.0,7.0,314.0,48.0,73.0,31.0
PRV51540,0,66940,7546.0,44.0,660,660,18,33,24,9,22,27,41,43,16,23,6,256690,32040,79310,21140,4170.0,0.0,37.0,4.0,7.0,3.0
PRV51541,0,12140,270.0,0.0,612,612,17,26,25,12,15,25,34,39,15,11,6,353450,35768,105490,33930,3747.0,1.0,18.0,4.0,8.0,3.0
PRV51542,1,964660,97218.0,633.0,1356,1356,61,76,72,25,61,57,88,90,43,35,12,1866210,228124,287850,86670,8417.0,1.0,55.0,10.0,22.0,9.0
PRV51544,0,480150,45546.0,266.0,2796,2791,104,139,102,32,78,109,173,191,83,73,27,1522280,159316,549370,166810,17599.0,2.0,145.0,10.0,37.0,8.0
PRV51546,0,110930,9762.0,70.0,432,429,11,21,20,2,11,16,29,26,12,11,1,188190,21360,79550,24740,2643.0,0.0,18.0,1.0,3.0,2.0
PRV51547,0,2640,0.0,0.0,156,156,7,4,5,4,5,7,7,11,5,5,5,127320,10680,28050,6650,997.0,0.0,8.0,1.0,0.0,0.0
PRV51549,0,82110,8614.0,77.0,252,252,9,15,9,2,9,7,15,11,6,7,5,162000,27952,25560,7350,1572.0,1.0,10.0,0.0,1.0,2.0
PRV51550,0,124040,16120.0,144.0,720,732,31,46,28,12,15,23,45,49,19,20,8,277110,40584,175450,52290,4663.0,0.0,35.0,6.0,9.0,1.0
PRV51551,0,112800,5440.0,43.0,336,336,14,16,15,2,12,11,19,22,7,9,4,154990,14952,46950,14750,1993.0,0.0,16.0,1.0,4.0,0.0
PRV51552,0,94040,10970.0,41.0,744,744,25,32,20,9,16,28,44,48,15,20,10,254800,34176,93380,28670,4531.0,3.0,34.0,5.0,6.0,4.0
PRV51553,0,40990,6408.0,38.0,252,246,3,13,7,3,5,8,12,15,8,6,2,104580,16020,22720,6100,1592.0,1.0,11.0,3.0,1.0,0.0
PRV51554,0,9640,1138.0,5.0,72,72,2,4,0,1,3,5,5,6,3,3,0,9160,1068,19690,3980,474.0,0.0,3.0,0.0,0.0,1.0
PRV51555,0,2910,0.0,0.0,180,180,3,9,8,1,5,6,11,10,6,5,1,78200,8544,46230,10960,1185.0,0.0,9.0,2.0,3.0,0.0
PRV51556,0,138250,10680.0,88.0,672,656,20,32,25,8,17,22,40,44,22,21,6,285420,28268,135560,38820,4183.0,1.0,30.0,5.0,3.0,4.0
PRV51557,0,16740,1068.0,4.0,120,120,4,5,6,0,3,4,5,7,6,4,3,97240,8544,43310,12010,809.0,0.0,9.0,0.0,1.0,1.0
PRV51558,0,25870,5440.0,26.0,312,312,16,17,13,3,10,13,20,22,9,4,1,93260,14952,46360,12700,1909.0,1.0,10.0,2.0,3.0,1.0
PRV51560,1,1956190,208260.0,1393.0,2820,2838,111,165,138,45,115,115,179,206,92,86,27,3574490,390172,580360,165980,18107.0,3.0,123.0,12.0,29.0,19.0
PRV51562,0,5820,80.0,0.0,288,288,11,15,14,4,7,14,20,19,6,8,2,133140,12816,27060,9020,1779.0,0.0,14.0,0.0,5.0,3.0
PRV51563,0,4280,0.0,0.0,228,228,10,10,4,3,7,9,12,17,8,7,3,95580,23680,26880,8570,1452.0,0.0,8.0,1.0,2.0,0.0
PRV51564,0,9100,70.0,0.0,288,288,10,14,14,1,8,9,16,15,6,5,1,112980,21408,127020,29590,1711.0,1.0,13.0,5.0,2.0,1.0
PRV51566,0,90030,16020.0,84.0,312,312,15,22,14,6,17,15,19,20,10,16,3,203870,32904,63670,17660,1897.0,0.0,15.0,2.0,4.0,1.0
PRV51567,1,465400,4620.0,0.0,19488,19393,654,892,639,251,429,699,1131,1219,489,482,163,7409050,736332,3480600,1098360,120549.0,11.0,877.0,58.0,238.0,102.0
PRV51568,0,105010,9612.0,58.0,684,684,28,32,27,14,10,21,38,42,19,17,5,383300,41952,139270,43930,4440.0,1.0,40.0,3.0,10.0,6.0
PRV51569,0,1500,0.0,0.0,60,60,1,4,2,1,2,1,4,3,1,1,2,51680,4272,14510,4980,389.0,0.0,3.0,0.0,1.0,1.0
PRV51570,0,0,0.0,0.0,12,12,0,1,1,1,1,0,1,1,0,1,0,103000,3204,4090,490,71.0,0.0,1.0,0.0,0.0,0.0
PRV51571,0,4640,0.0,0.0,264,264,11,15,8,6,9,11,17,15,8,3,2,92260,12816,43480,18780,1598.0,0.0,12.0,1.0,3.0,2.0
PRV51572,0,5710,1068.0,8.0,48,48,3,2,3,0,2,1,3,3,1,0,3,59000,5340,3960,620,303.0,0.0,4.0,0.0,0.0,1.0
PRV51573,0,66730,5380.0,30.0,1104,1104,30,43,41,13,29,44,66,71,29,25,6,357390,42720,190110,63510,6732.0,2.0,47.0,8.0,8.0,7.0
PRV51574,1,1281810,12290.0,0.0,53268,53151,1797,2643,1906,696,1444,1981,3125,3302,1464,1376,388,18737920,2372548,10437160,3052220,328819.0,18.0,2382.0,266.0,637.0,270.0
PRV51576,0,97780,5770.0,29.0,775,780,23,39,28,13,17,29,47,54,18,18,5,393260,34176,243180,64290,4859.0,1.0,38.0,4.0,8.0,6.0
PRV51577,0,2100,0.0,0.0,12,12,1,1,1,0,1,0,1,1,0,0,0,0,0,14240,2810,64.0,0.0,1.0,0.0,0.0,0.0
PRV51578,1,1662920,131150.0,870.0,17928,17907,627,852,576,230,466,624,1008,1102,478,463,142,7862470,868940,3023020,917610,110379.0,12.0,840.0,76.0,127.0,37.0
PRV51579,0,247680,19494.0,102.0,864,864,28,51,35,13,23,39,57,60,28,20,7,744450,78556,133180,47080,5524.0,2.0,34.0,2.0,10.0,5.0
PRV51580,0,1710,0.0,0.0,36,36,1,1,1,1,0,2,2,3,1,0,0,10000,2136,4530,2130,225.0,0.0,3.0,0.0,0.0,0.0
PRV51582,0,14370,1068.0,7.0,48,48,3,3,1,0,2,2,4,2,1,0,1,33740,4272,13240,4640,313.0,0.0,4.0,0.0,0.0,1.0
PRV51583,0,32430,2226.0,9.0,552,561,17,27,19,11,7,20,32,29,14,11,5,198500,21360,110270,34700,3500.0,1.0,25.0,3.0,8.0,3.0
PRV51584,1,171930,14254.0,91.0,984,968,32,51,33,8,34,34,51,51,29,30,2,471990,54360,117640,36370,5989.0,0.0,48.0,5.0,6.0,5.0
PRV51585,0,77080,4272.0,20.0,72,72,3,1,1,0,2,4,3,4,2,0,0,108200,8544,7340,2490,433.0,0.0,5.0,0.0,2.0,1.0
PRV51586,1,72510,6408.0,53.0,96,96,4,7,3,2,4,3,4,5,2,2,2,92110,8544,11480,3240,563.0,0.0,5.0,0.0,0.0,0.0
PRV51587,0,1500,0.0,0.0,60,60,2,3,3,0,3,3,4,3,4,4,0,0,0,5150,1750,333.0,0.0,4.0,2.0,0.0,0.0
PRV51588,0,58430,3204.0,18.0,120,120,5,8,4,2,6,2,8,8,3,2,1,199000,12816,23560,7980,668.0,0.0,5.0,1.0,1.0,0.0
PRV51590,1,781380,84372.0,521.0,1008,1008,44,53,47,13,35,40,67,70,31,17,10,1225070,142908,123340,31530,6342.0,1.0,49.0,3.0,16.0,8.0
PRV51592,0,30,0.0,0.0,36,36,1,3,2,1,2,1,3,3,1,0,0,31000,3204,6940,1750,216.0,0.0,1.0,1.0,0.0,0.0
PRV51593,1,150000,12916.0,118.0,642,644,24,32,21,9,21,19,41,40,18,20,8,404800,41516,93360,26110,4025.0,1.0,31.0,3.0,6.0,2.0
PRV51595,0,14660,1078.0,4.0,288,288,12,14,5,4,9,6,18,17,7,10,2,60000,6408,49470,15490,1884.0,0.0,17.0,0.0,2.0,1.0
PRV51596,0,41830,3484.0,31.0,600,588,18,25,17,10,12,17,27,32,18,15,5,155020,21360,133180,36170,3703.0,0.0,27.0,2.0,4.0,1.0
PRV51598,0,779530,65200.0,436.0,5016,4998,168,227,174,74,128,172,314,321,123,124,43,3354050,300152,802760,227060,31609.0,3.0,259.0,31.0,55.0,12.0
PRV51599,0,16210,3204.0,27.0,60,60,3,4,3,1,2,2,4,4,1,1,2,72000,6408,2830,1060,394.0,0.0,3.0,0.0,0.0,0.0
PRV51600,0,36050,3754.0,13.0,1308,1308,46,65,41,22,33,63,88,80,47,33,9,593010,70944,247140,70420,7972.0,0.0,64.0,8.0,15.0,6.0
PRV51601,0,3690,0.0,0.0,168,168,6,9,3,2,2,6,8,11,4,5,0,14030,3204,35780,10680,981.0,0.0,9.0,0.0,0.0,2.0
PRV51602,0,77480,12816.0,72.0,468,468,20,28,18,8,16,20,33,35,11,20,5,282750,36612,95650,26920,2982.0,1.0,23.0,3.0,3.0,5.0
PRV51604,1,697510,53622.0,402.0,3948,3936,110,198,127,45,99,142,230,251,103,99,38,2360410,221932,888560,232230,24344.0,2.0,183.0,21.0,52.0,27.0
PRV51605,0,46990,5520.0,26.0,852,864,24,46,26,4,19,33,50,50,18,18,6,236000,49040,226340,48160,5377.0,0.0,44.0,4.0,10.0,3.0
PRV51606,0,66100,10680.0,60.0,552,552,15,27,20,9,15,25,33,37,19,7,5,283650,38448,88770,25420,3399.0,0.0,32.0,0.0,4.0,2.0
PRV51607,0,15410,60.0,10.0,180,180,7,10,5,3,4,9,12,12,5,7,1,102860,12248,25420,6460,1105.0,1.0,12.0,1.0,2.0,1.0
PRV51608,0,78140,9892.0,57.0,444,444,12,22,19,9,15,19,23,26,10,10,8,255190,27768,93470,23920,2704.0,1.0,17.0,3.0,6.0,0.0
PRV51609,0,110790,11878.0,141.0,900,900,30,48,32,13,26,34,58,60,26,28,9,731400,61944,198260,53160,5647.0,0.0,35.0,6.0,9.0,1.0
PRV51610,0,43150,3204.0,31.0,72,72,3,5,2,1,3,5,4,4,1,3,0,67100,6408,20640,3950,458.0,0.0,2.0,0.0,2.0,0.0
PRV51611,0,2780,0.0,0.0,96,96,1,6,1,0,0,2,5,7,2,1,0,0,0,30910,9150,589.0,0.0,7.0,2.0,0.0,0.0
PRV51612,0,66770,6408.0,78.0,156,156,3,11,3,3,6,5,9,8,5,3,0,201800,17088,38810,11360,995.0,1.0,6.0,1.0,2.0,1.0
PRV51613,0,20450,4272.0,25.0,252,252,13,14,8,5,6,11,14,18,5,6,2,98650,16020,63360,9880,1476.0,0.0,11.0,1.0,1.0,2.0
PRV51614,1,1472150,155410.0,852.0,3216,3216,109,170,135,48,91,109,199,205,89,89,38,2978090,324924,501970,141380,19943.0,4.0,147.0,19.0,62.0,15.0
PRV51616,0,6120,0.0,0.0,312,312,14,15,10,6,7,11,15,24,6,9,4,132960,17888,41660,11970,1864.0,0.0,10.0,3.0,2.0,1.0
PRV51617,0,111270,11748.0,112.0,264,264,9,12,8,3,10,11,17,17,5,4,3,379420,34836,48950,13330,1777.0,0.0,13.0,0.0,4.0,0.0
PRV51618,0,2000,1068.0,3.0,0,12,0,0,0,0,0,0,0,0,0,0,0,2000,1068,100,0,66.0,0.0,0.0,0.0,0.0,0.0
PRV51619,0,78150,7476.0,87.0,228,228,9,13,10,2,10,9,15,17,9,5,5,299980,25364,25440,5960,1486.0,1.0,15.0,2.0,2.0,0.0
PRV51620,0,21190,3204.0,17.0,96,96,5,4,4,2,3,3,7,7,3,3,1,40500,5340,53410,15470,613.0,0.0,5.0,0.0,4.0,0.0
PRV51621,0,530,0.0,0.0,108,108,1,6,2,0,3,3,5,8,6,3,0,0,0,9040,2450,647.0,0.0,5.0,1.0,2.0,0.0
PRV51622,0,101690,9682.0,49.0,1224,1230,46,57,41,14,35,42,76,83,26,33,16,517060,61944,243220,67010,7290.0,0.0,56.0,6.0,14.0,10.0
PRV51623,0,56350,7476.0,39.0,252,252,8,15,8,4,10,7,18,18,4,9,6,150460,17088,44310,14970,1489.0,0.0,15.0,1.0,3.0,2.0
PRV51624,0,320,40.0,0.0,60,60,1,2,1,0,1,4,4,3,2,2,1,7400,1068,5630,1850,334.0,0.0,2.0,0.0,0.0,1.0
PRV51625,0,19420,4272.0,14.0,84,84,5,4,2,1,2,4,4,6,2,1,1,103700,10544,9630,2910,532.0,0.0,3.0,0.0,0.0,2.0
PRV51626,0,36920,1068.0,4.0,108,108,5,4,2,0,0,3,6,6,3,0,0,35000,1068,6730,2060,707.0,0.0,5.0,0.0,3.0,1.0
PRV51627,0,44860,3204.0,24.0,312,312,12,12,9,5,9,11,15,18,5,7,5,219170,19588,79320,22070,1973.0,0.0,11.0,2.0,3.0,2.0
PRV51628,0,13320,2136.0,9.0,72,72,2,6,4,1,4,4,4,5,1,3,3,59410,8544,16340,2130,469.0,0.0,6.0,0.0,2.0,0.0
PRV51629,0,213000,22428.0,161.0,264,264,10,14,14,1,15,8,17,17,8,5,3,425330,41084,24980,7650,1710.0,0.0,17.0,1.0,5.0,0.0
PRV51630,0,1860,1068.0,6.0,60,60,1,5,3,0,0,3,4,4,2,1,0,29900,4272,17210,6990,387.0,0.0,1.0,0.0,0.0,1.0
PRV51631,0,1500,0.0,0.0,72,72,2,3,0,1,1,2,2,4,2,2,0,8000,1068,6050,2120,503.0,0.0,4.0,0.0,1.0,0.0
PRV51632,0,26850,4342.0,20.0,312,312,11,13,10,2,11,7,21,17,8,5,4,123100,21020,124050,30630,1977.0,0.0,18.0,2.0,3.0,1.0
PRV51634,0,71090,5620.0,26.0,1404,1402,50,71,49,11,37,49,88,94,39,39,9,599090,61808,286990,73140,8795.0,2.0,66.0,5.0,20.0,10.0
PRV51635,0,28120,1068.0,7.0,348,348,12,16,9,2,7,9,24,23,14,6,3,183490,9612,66820,17790,2060.0,0.0,18.0,2.0,1.0,3.0
PRV51636,0,180020,3924.0,34.0,3768,3792,113,200,134,45,103,169,219,247,101,117,14,1599520,168840,943670,287200,23274.0,4.0,173.0,33.0,41.0,21.0
PRV51637,0,43440,7576.0,40.0,408,408,18,15,10,4,10,13,23,24,9,13,4,105690,20292,55520,17490,2651.0,0.0,17.0,1.0,3.0,3.0
PRV51638,0,20490,2136.0,13.0,48,48,0,3,1,2,2,1,4,4,1,1,0,57000,5340,8830,1170,256.0,0.0,3.0,0.0,0.0,0.0
PRV51639,0,112520,12816.0,48.0,348,348,16,20,15,7,13,15,28,23,10,11,4,287460,32040,79540,24750,2196.0,0.0,16.0,1.0,4.0,1.0
PRV51640,0,17490,3204.0,11.0,84,84,2,3,2,0,3,3,5,5,2,3,1,40240,5340,8000,2840,529.0,0.0,5.0,1.0,0.0,0.0
PRV51641,0,1700,90.0,0.0,168,168,7,11,6,2,7,6,11,13,5,8,1,66460,9612,31880,7150,1113.0,0.0,13.0,1.0,2.0,1.0
PRV51642,0,10460,120.0,3.0,348,348,16,9,7,7,6,9,18,21,11,13,1,82600,11748,63960,20070,2189.0,0.0,19.0,2.0,6.0,0.0
PRV51644,0,16490,1178.0,6.0,288,288,7,13,11,3,8,13,14,15,7,4,0,109590,10680,44100,11430,1736.0,0.0,15.0,0.0,4.0,5.0
PRV51645,0,280,90.0,0.0,60,60,2,3,2,2,2,1,4,4,1,2,1,21000,2136,14490,3750,360.0,0.0,2.0,1.0,0.0,1.0
PRV51647,0,44940,6408.0,39.0,144,144,3,8,8,3,7,5,11,10,3,2,1,150780,16020,23790,9460,931.0,0.0,7.0,0.0,2.0,1.0
PRV51650,0,13290,0.0,0.0,288,288,9,9,6,1,3,10,11,14,9,7,3,64080,7476,47180,7960,1643.0,0.0,11.0,3.0,2.0,2.0
PRV51652,0,17600,270.0,0.0,768,768,23,41,28,9,23,34,47,54,27,30,4,277070,26132,262880,81880,4695.0,0.0,41.0,9.0,8.0,3.0
PRV51653,0,8530,110.0,0.0,288,288,8,13,8,2,9,10,15,17,6,10,3,28100,4272,64040,22570,1826.0,0.0,14.0,1.0,5.0,0.0
PRV51654,0,220,10.0,0.0,24,24,1,2,1,0,2,1,2,2,2,0,0,0,0,1210,540,123.0,0.0,0.0,2.0,0.0,0.0
PRV51655,0,70,40.0,0.0,36,36,2,0,0,0,1,1,1,3,1,1,0,16200,1068,4490,1030,230.0,0.0,3.0,0.0,1.0,0.0
PRV51656,0,4860,0.0,0.0,276,276,10,14,8,4,5,14,18,15,5,11,0,92440,8544,58810,20010,1626.0,0.0,9.0,5.0,2.0,1.0
PRV51657,0,3760,200.0,0.0,48,48,3,3,4,3,2,2,2,3,2,1,1,31480,3204,16140,6080,288.0,0.0,2.0,0.0,1.0,0.0
PRV51658,0,1770,0.0,0.0,60,48,2,1,1,1,1,3,3,3,2,1,0,15740,2136,7510,3310,347.0,0.0,4.0,0.0,2.0,1.0
PRV51660,0,180,30.0,0.0,36,36,1,2,2,1,0,1,3,3,1,0,1,0,0,4240,850,179.0,0.0,2.0,0.0,0.0,1.0
PRV51661,0,47570,570.0,0.0,1608,1608,46,76,53,23,43,75,101,102,44,45,5,423890,43788,422320,133560,9884.0,0.0,82.0,14.0,20.0,11.0
PRV51664,0,790,50.0,0.0,120,120,3,6,2,3,3,7,8,7,4,3,0,8350,2136,8780,3080,738.0,0.0,6.0,0.0,0.0,0.0
PRV51665,0,3810,40.0,0.0,180,180,4,6,6,0,3,4,12,13,5,3,1,104250,12548,31610,8740,1150.0,0.0,10.0,4.0,3.0,0.0
PRV51666,0,50,0.0,0.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,49.0,0.0,1.0,0.0,0.0,0.0
PRV51668,0,9020,110.0,0.0,444,456,14,23,17,7,12,20,30,33,16,15,2,82720,8544,71540,24830,2968.0,0.0,26.0,2.0,1.0,0.0
PRV51669,0,21060,320.0,0.0,912,900,33,42,31,9,24,36,49,59,29,19,4,234980,24564,112480,37990,5535.0,3.0,44.0,3.0,7.0,5.0
PRV51670,0,122850,2318.0,9.0,5112,5184,162,238,161,55,109,184,270,296,145,113,41,1476190,186112,791550,262760,32982.0,6.0,271.0,26.0,49.0,21.0
PRV51671,0,8490,100.0,0.0,462,468,12,25,16,3,15,18,26,31,11,10,2,139980,15252,61300,18880,2893.0,0.0,30.0,0.0,5.0,0.0
PRV51672,0,2270,0.0,0.0,72,72,3,0,1,0,0,2,4,3,2,1,0,5000,1068,9470,1150,413.0,0.0,2.0,0.0,1.0,0.0
PRV51673,0,51180,680.0,0.0,2196,2196,53,90,53,36,40,78,116,111,87,35,16,176360,20292,279210,79600,13458.0,1.0,92.0,17.0,36.0,11.0
PRV51674,0,1400,0.0,0.0,48,48,1,1,1,0,2,2,4,4,3,0,0,0,0,7680,3200,315.0,0.0,3.0,0.0,2.0,0.0
PRV51675,0,7690,100.0,0.0,336,336,11,19,8,4,10,10,16,22,12,9,5,64220,12612,44400,14790,1979.0,0.0,20.0,2.0,2.0,2.0
PRV51676,0,91920,3724.0,24.0,1644,1644,55,77,55,19,36,71,103,98,46,50,8,700910,60876,295970,89280,10326.0,0.0,81.0,8.0,19.0,12.0
